1,1,0,0,0,0,0,0,0,0,0,0,0,54.16971371,36921,0,36921,36921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.08485686,27.08485686,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0
8,11,997,11936,613,0,124.625,215.6206573,1448,0,1085.090909,589.9224448,25257.34842,37.10582386,28447.16667,37760.27742,129192,5,459695,65670.71429,73144.02035,181321,15,465699,46569.9,78428.00072,207754,5,0,0,0,0,264,360,15.62350478,21.48231907,0,1448,646.65,669.575771,448331.7132,0,0,0,1,0,0,0,0,1,680.6842105,124.625,1085.090909,264,0,0,0,0,0,0,8,997,11,11936,65535,257,3,32,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,412.2861266,3234,5181.654273,9214,73,9702,3234,5181.654273,9214,73,0,0,0,0,0,0,0,0,0,128,0,412.2861266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,128,0,0,0,0,0,0,4,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,54.67020201,36583,0,36583,36583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.335101,27.335101,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2495,460,0,32,0,0,0,0,0,0,0,0
5,3,131,495,131,0,26.2,58.58498101,495,0,165,285.7883832,11404.83521,145.7486928,7841.285714,11093.78489,24216,52,54889,13722.25,15514.34442,27200,52,27343,13671.5,18467.5078,26730,613,0,0,0,0,168,104,91.09293301,54.65575981,0,495,69.55555556,165.3194719,27330.52778,0,0,0,1,0,0,0,0,0,78.25,26.2,165,168,0,0,0,0,0,0,5,131,3,495,65535,1,1,32,0,0,0,0,0,0,0,0
5,3,131,495,131,0,26.2,58.58498101,495,0,165,285.7883832,11137.00653,142.325962,8029.857143,10954.88542,24122,614,56209,14052.25,15442.45959,27807,627,28757,14378.5,19465.94258,28143,614,0,0,0,0,168,104,88.95372627,53.37223576,0,495,69.55555556,165.3194719,27330.52778,0,0,0,1,0,0,0,0,0,78.25,26.2,165,168,0,0,0,0,0,0,5,131,3,495,65535,1,1,32,0,0,0,0,0,0,0,0
5,6,560,167,517,0,112,227.1662387,144,0,27.83333333,57.64864844,36.05656983,0.545560204,2016276.1,6279872.692,1.99E+07,13,172943,43235.75,44651.72248,90566,322,2.01E+07,4020215,8870991.062,1.99E+07,13,0,0,0,0,168,200,0.247981911,0.297578293,0,517,60.58333333,149.6538177,22396.26515,0,0,0,1,0,0,0,0,1,66.09090909,112,27.83333333,168,0,0,0,0,0,0,5,560,6,167,65535,939,2,32,273905,0,273905,273905,1.99E+07,0,1.99E+07,1.99E+07
3,6,2280,545,1398,366,760,557.5912481,514,0,90.83333333,207.6789991,20482.14609,65.25285481,17240.625,24540.11328,64782,8,38049,19024.5,25421.19589,37000,1049,102788,20557.6,29284.70847,64782,8,1,0,0,0,96,192,21.7509516,43.50190321,0,1398,319.1,439.1255072,192831.2111,0,1,0,0,1,0,0,0,2,354.5555556,760,90.83333333,96,0,0,0,0,0,0,3,2280,6,545,1403,169,2,32,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,54.13305906,36946,0,36946,36946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.06652953,27.06652953,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,3085,362,0,32,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,54.05113237,37002,0,37002,37002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.02556619,27.02556619,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2949,362,0,32,0,0,0,0,0,0,0,0
